Respid,ConjointFinal,dR,dProfile,Immigrant_preferred,Application,Country,Language,Profession,Employment,Gender,Ethnicity
8,1x1,51,1,0,Resettle,China,Broken Korean,Agricultural worker,Job interviews only,Female,Ethnic Korean
8,1x2,51,2,1,Study,China,Spoke via interpreter,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
8,2x1,51,1,0,Short-term work,China,Fluent Korean,Doctor,Has contract with employer,Female,Non-ethnic Korean
8,2x2,51,2,1,Study,Yemen,Fluent Korean,Nurse,Will look for work after arrival,Male,Ethnic Korean
8,3x1,51,1,1,Study,China,Spoke via interpreter,Agricultural worker,Has contract with employer,Female,Non-ethnic Korean
8,3x2,51,2,0,Claim asylum,North Korea,Broken Korean,Computer programmer,Job interviews only,Female,Ethnic Korean
8,4x1,51,1,0,Resettle,United States,Broken Korean,Computer programmer,Job interviews only,Male,Non-ethnic Korean
8,4x2,51,2,1,Study,Yemen,Spoke via interpreter,Doctor,Will look for work after arrival,Male,Ethnic Korean
8,5x1,51,1,1,Short-term work,United States,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
8,5x2,51,2,0,Resettle,North Korea,Spoke via interpreter,Office worker,Will look for work after arrival,Male,Non-ethnic Korean
8,6x1,51,1,0,Study,Japan,Broken Korean,Office worker,No plans to look for work,Female,Ethnic Korean
8,6x2,51,2,1,Study,China,Tried Korean but unable,Research scientist,Will look for work after arrival,Male,Non-ethnic Korean
9,1x1,52,1,0,Short-term work,Vietnam,Broken Korean,Teacher,Will look for work after arrival,Male,Ethnic Korean
9,1x2,52,2,1,Study,China,Broken Korean,Childcare provider,No plans to look for work,Female,Ethnic Korean
9,2x1,52,1,0,Short-term work,United States,Spoke via interpreter,Research scientist,Job interviews only,Male,Ethnic Korean
9,2x2,52,2,1,Short-term work,United States,Spoke via interpreter,Agricultural worker,No plans to look for work,Male,Non-ethnic Korean
9,3x1,52,1,0,Short-term work,Vietnam,Fluent Korean,Nurse,Has contract with employer,Female,Ethnic Korean
9,3x2,52,2,1,Claim asylum,Japan,Broken Korean,Doctor,No plans to look for work,Female,Non-ethnic Korean
9,4x1,52,1,0,Study,China,Tried Korean but unable,Agricultural worker,No plans to look for work,Female,Non-ethnic Korean
9,4x2,52,2,1,Resettle,North Korea,Spoke via interpreter,Teacher,Job interviews only,Male,Non-ethnic Korean
9,5x1,52,1,0,Resettle,Japan,Fluent Korean,Office worker,No plans to look for work,Male,Non-ethnic Korean
9,5x2,52,2,1,Resettle,United States,Spoke via interpreter,Teacher,Will look for work after arrival,Female,Ethnic Korean
9,6x1,52,1,1,Study,United States,Spoke via interpreter,Research scientist,Will look for work after arrival,Male,Ethnic Korean
9,6x2,52,2,0,Short-term work,Yemen,Broken Korean,Nurse,Will look for work after arrival,Male,Ethnic Korean
10,1x1,53,1,0,Resettle,Yemen,Fluent Korean,Agricultural worker,Will look for work after arrival,Female,Ethnic Korean
10,1x2,53,2,1,Short-term work,Japan,Spoke via interpreter,Teacher,Has contract with employer,Female,Ethnic Korean
10,2x1,53,1,1,Claim asylum,North Korea,Broken Korean,Research scientist,No plans to look for work,Female,Ethnic Korean
10,2x2,53,2,0,Resettle,United States,Fluent Korean,Office worker,Job interviews only,Female,Non-ethnic Korean
10,3x1,53,1,0,Claim asylum,China,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
10,3x2,53,2,1,Resettle,United States,Fluent Korean,Agricultural worker,Will look for work after arrival,Male,Ethnic Korean
10,4x1,53,1,1,Resettle,Japan,Broken Korean,Office worker,Will look for work after arrival,Female,Ethnic Korean
10,4x2,53,2,0,Resettle,Yemen,Tried Korean but unable,Childcare provider,Job interviews only,Male,Non-ethnic Korean
10,5x1,53,1,1,Claim asylum,North Korea,Tried Korean but unable,Office worker,Has contract with employer,Female,Ethnic Korean
10,5x2,53,2,0,Claim asylum,United States,Fluent Korean,Agricultural worker,Will look for work after arrival,Male,Ethnic Korean
10,6x1,53,1,0,Short-term work,Vietnam,Spoke via interpreter,Computer programmer,No plans to look for work,Female,Non-ethnic Korean
10,6x2,53,2,1,Study,United States,Fluent Korean,Research scientist,Job interviews only,Male,Ethnic Korean
11,1x1,54,1,0,Study,United States,Tried Korean but unable,Childcare provider,No plans to look for work,Male,Non-ethnic Korean
11,1x2,54,2,1,Short-term work,North Korea,Fluent Korean,Computer programmer,Job interviews only,Female,Ethnic Korean
11,2x1,54,1,1,Resettle,North Korea,Fluent Korean,Doctor,Will look for work after arrival,Male,Ethnic Korean
11,2x2,54,2,0,Resettle,United States,Tried Korean but unable,Teacher,No plans to look for work,Female,Ethnic Korean
11,3x1,54,1,1,Short-term work,Vietnam,Fluent Korean,Office worker,Job interviews only,Female,Non-ethnic Korean
11,3x2,54,2,0,Study,Japan,Fluent Korean,Agricultural worker,No plans to look for work,Male,Ethnic Korean
11,4x1,54,1,0,Study,North Korea,Fluent Korean,Computer programmer,Job interviews only,Female,Ethnic Korean
11,4x2,54,2,1,Short-term work,Japan,Broken Korean,Childcare provider,Job interviews only,Male,Ethnic Korean
11,5x1,54,1,1,Short-term work,United States,Spoke via interpreter,Office worker,Has contract with employer,Male,Non-ethnic Korean
11,5x2,54,2,0,Study,North Korea,Tried Korean but unable,Childcare provider,No plans to look for work,Female,Ethnic Korean
11,6x1,54,1,0,Claim asylum,Yemen,Fluent Korean,Office worker,Job interviews only,Male,Ethnic Korean
11,6x2,54,2,1,Study,Yemen,Fluent Korean,Doctor,Has contract with employer,Male,Ethnic Korean
12,1x1,55,1,0,Resettle,Vietnam,Tried Korean but unable,Childcare provider,Has contract with employer,Female,Non-ethnic Korean
12,1x2,55,2,1,Study,Yemen,Broken Korean,Research scientist,No plans to look for work,Male,Ethnic Korean
12,2x1,55,1,1,Claim asylum,North Korea,Broken Korean,Teacher,Will look for work after arrival,Male,Ethnic Korean
12,2x2,55,2,0,Resettle,Yemen,Broken Korean,Childcare provider,Will look for work after arrival,Male,Ethnic Korean
12,3x1,55,1,0,Study,North Korea,Tried Korean but unable,Childcare provider,No plans to look for work,Female,Ethnic Korean
12,3x2,55,2,1,Resettle,Japan,Broken Korean,Agricultural worker,No plans to look for work,Male,Ethnic Korean
12,4x1,55,1,0,Study,North Korea,Broken Korean,Doctor,No plans to look for work,Male,Ethnic Korean
12,4x2,55,2,1,Short-term work,United States,Fluent Korean,Agricultural worker,Job interviews only,Male,Non-ethnic Korean
12,5x1,55,1,1,Short-term work,Japan,Tried Korean but unable,Office worker,No plans to look for work,Female,Non-ethnic Korean
12,5x2,55,2,0,Resettle,Yemen,Broken Korean,Childcare provider,No plans to look for work,Male,Non-ethnic Korean
12,6x1,55,1,1,Resettle,Japan,Fluent Korean,Childcare provider,Will look for work after arrival,Male,Non-ethnic Korean
