respid,Reason for choosing third profile (Korean),Reason translated
5,동포이니까,Because they are ethnic Korean
6,유창한 한국어,Fluent Korean
7,없음,None
8,국적 우선시 함,Nationality is prioritized
9,동포,Ethnic Korean
10,구직활동이 등록되어 있음,Employment-seeking activities are registered
12,한국의 국익과 인권을 위해 이민을 검토하면 될 것 같음,I think we should consider immigration for Korea's national interest and human rights
13,한국에 필요한사람같아서,I think this person will be needed in Korea
14,여자이므로,Because this person is a woman
15,구직 활동에 대한 유무 및 완료 사항,Status and completion of employment-seeking activities
17,같은 민족이라서,Because they are ethnic Korean like us
18,북한사람이 우리나라 말을 더 잘하기 때문에,Because North Koreans are better Korean language speakers
20,확실히 근면 성실한 신뢰성이 있는자,Someone who is clearly diligent and reliable
21,언어구사력,Language skill
22,한국어 사용,Korean language use
23,이민을 해서 나라에 더 이바지할것 같다,I think they will contribute further to the country after immigrating
24,조건이 더 좋은것 같아서,Because I think they have better conditions
25,한국어 의사소통 능력,Ability to communicate in Korean
26,이미지,Image
27,착실하게 정착해서 생활할 가능성이 커보여서,Because it seems likely they will settle down well and make a living
28,동포이며 절실함이있는사람,Someone who is an ethnic Korean and desperate
29,확실히 구직목표가 있다,They clearly have employment-seeking opportunities
30,이념적 성향이 우선,Ideological inclinations are prioritized
31,구직계획,Employment-seeking plans
32,어려움 없이 잘 정착할 것 같아서,Because I think they will settle well without difficulty
33,신원의 확실성을 알기 우해서,To confirm the certainty of their identity
35,좀더 적응을 잘 할듯,Because I think they will adjust better
37,둘 다 선호하지 않음.,I do not prefer either
38,미국사람은 일본사람보다 신뢰가 간다,I trust an American more than a Japanese person
39,특별한 이유 없음,No special reason
41,친근감,Sense of closeness
42,농부로서 구직활동을 하겠다는 점,The fact that he will seek employment as a farmer
45,한국어를 유능하게 잘 해서~,Because they can speak Korean well
46,확실한 구직의사,Clear intent to seek employment
47,신뢰가 가서,Because they seem trustworthy
48,고용계약이 된 사람이라서,Because they have an employment contract
49,아무래도 정서적으로 가까운...,Somehow they feel emotionally close
50,더 호감이 가서,They give a more favorable impression
52,1후보자 사무직은 우리 인력이 남아 도는 경우지만 2후보자의 과학연구직은 필요 인력,"The first candidate is an office worker which there is a surplus of here, but the second candidate is a science researcher which we need"
53,"망명, 남자, 농부","Asylum seeker, male, farmer"
55,다시 한번 검증할 대상이기 때문,Because they will be inspected again
58,우리나라에 이익이 가느냐 안 가느냐의 유무,It depends on whether our country will benefit
59,출신지때문에,Because of where they are from
60,직업이 있어서,Because they have a job
61,동포이기때문,Because they are an ethnic Korean
62,동포이자 농사로 국가 발전에 조금 더 이득일 듯,They are an ethnic Korean and our country's development will benefit through farming
64,직업,Employment
65,마음에 들었다,Because I prefer them
66,전체적으로 파악하여 선택 하였다,I made a choice after overall consideration
67,"1. 예맨보단 북한의 같은 민족이 좋을것으로 판단됨.(단, 간첩이 아니라는것이 확실할때) 2. 우방국인 미국이기떄문에 문제가 없을것 3. 중국은 싫음.","1. I think an ethnic Korean from North Korea will be better than someone from Yemen. (However, only if it is certain that they are not a spy) 2. I think there won’t be any issues because they are from US, an ally country 3. I don't like China."
68,예멘(이슬람)인의 입국보다는 중국인이 낫다.,Chinese person is better than Yemenis (Muslims).
70,"우리나라에서 일하고 적응 잘하면 문제없이 살수 있을것 같아서요,, 아무준비 없이 오는 사람들은 받아주고 싶지 않아요, 나라세금으로 그사람들에게 가는게 너무 아쉽습니다. 우리나라사람도 정말 필요로 하는 세금들이 많잖아요,,",Because I think there will be no problems if they work in our country and adjust well. I don't want to accept people who come unprepared. I don’t like our nation's taxes going to such people. There are a lot of taxes that people in our country really need as well.
71,우선적으로 한국 오는 이유가 정확한 사람을 뽑고 싶었습니다,I wanted to select someone who had a clear reason for coming to Korea.
72,진정성,Sincerity
73,단기근무이기 때문,Because of short-term work
75,보지,
77,구직계획이 있음,They have employment-seeking plans
76,여성이면서 직업이 좋은것같아서,They are female and I think they have a good job
78,이민이 꼭 필요할것 같아서,Because I think immigration is necessary
80,국내활동가능성,Possibility of domestic activities
81,아무래도 같은 동포니까 선택했습니다,I selected them because they are ethnic Korean
83,우리말을 잘 하는지와 같은 동포로서 우리 사회에 동화되기 쉬운지를 판단했을 때 더 나아 보여서,They seemed like the better choice when I considered Korean language skills and because they would be able to assimilate into our society as ethnic Koreans
84,이민이 절박해 보여서,Their immigration seemed urgent
85,"동포, 간호사, 여성","Ethnic Korean, nurse, female"
86,사무직,Office worker
87,같은 국가라면 여성의 이민이 더 낫다고 판단,"If they are from the same country, a female immigrant would be better"
88,한국에 이민을 온 명확한 계획성과 준비성이 있어서 믿을수 있다는 신임을 가질수 있엇다,I felt like I could trust this person because they had a clear plan and was prepared to immigrate to Korea
89,"사용자와의 계약 완료인가, 아닌가를 중점적으로 살폈음",I focused on whether their contract with their employer was concluded or not
90,출신국가,Country of origin
91,직업이 간호사인게 맘에 들었다. 점점 수명이 늘어나면서 간병인들의 수요가 높아지는데 반해 공급이 원활하지 않은게 사실이다. 물론 간호사이긴 하지만 노인요양병원이나 간병인으로 활용하면 우리 사회에 좋게 작용할 거 같다.,"I liked that they were a nurse It is true that the supply of caregivers is not stable, while the demand for caregivers is increasing as life expectancy increases. They are a nurse, but if they can be employed at hospitals for the elderly or work as caregivers, I think it will be good for our society."
92,한국말을 할 줄 알면 적응하기 쉬울 거 같다.,"If they can speak Korean well, they will adjust easily"
93,북한출신 재정착 지원이 동포애차원에서 선호됨,Support for settlement of North Koreans is preferred considering Korean ethnicity
94,한국에서 놀고 먹은 이유가 없어보임,It doesn’t seem like they will be idle in Korea
95,고용주와의 취직여부를우선적으로 고려함,I considered whether they found a job with an employer first
96,이민국의언어와교육으로준비되어있음,They are prepared in terms of the language and education of the country they are immigrating to
97,망명은 어쩔수 없는 상황에서 한것으로 판단,I think they are seeking asylum because there were no other options
98,이민의 구체적인 사유가 있어보였음,They seem to have a specific reason for immigration
99,재정착,Resettlement
100,한국어실력 이민목적,"Korean language skills, objective of immigration"
101,더 신뢰감이 가서,I trust them more
102,의사라는 직업의 활용,The application of their profession as a doctor
103,IT관련 종사자를 선호했다.,I preferred the IT related worker
104,면접완료,Interview is complete
105,고용주와 계약된 단기근무라서,Because of the short-term work contracted with an employer
106,안전성,Stability
107,신원이 좀더 확실해 보임. (과거 데이타가 더 필요) 한국에 오려는 목적을 명확히 파악할 필요 있음.,Their identity seems more certain (Past data is needed) we must clearly understand their objective for coming to Korea.
108,일본인,Japanese
109,한국어가 유창함,Their Korean is fluent
110,그나마 고르자면 잠깐만 머무니까 선호가 간다고 느낌 대한민국도 모든 사람이 잘 사는게 아니라 그 못사는 사람을 지원해줄지 언정 이민한 사람을 그닥 환영하고 싶지는 않음,"If I had to chose, I would prefer them because they stay is temporary. Not everyone in Korean is wealthy either and it is uncertain whether the poor will be supported. I don’t really want to welcome an immigrant."
111,단기근무를 위한 신청이라 심사를 까다롭게 할 이유가 적어서,Because there is little reason to strictly inspect them because this is an application for short-term work
112,한국에 필요한 사람인 것 같아서,Because I think they will be needed in Korea
113,언어 능력,Language skill
116,성실성,Diligence
117,한국에 이민오기위해 준비를 많이한걸로 판단되기 때문(예를들어 취업을 위해 이미 준비하고 취업이 된 상태로 신청한 사람들이기 때문에),"Because it seemed to me they made many preparations to immigrate to Korea (for example, they prepared in advance for employment, and they applied after they got a job)"
118,언어,Language
119,노력이보임,I can see their efforts
121,자국의경제력이 좀더 나은 이민자들이 흡수되면 여러가지로 우리나라에 끼치는 영항력이 더 나을거 같아서,"Because I think if immigrants from countries with greater economic power are absorbed, the effect on our country will be better"
122,사회적인 문제를 일으킬 만한 사람은 아닐것으로 간주되어서,I don't think they will be someone who will cause social issues
123,재정착의 이유이기 때문에,On account of the reasons for resettlement
124,"같은 민족, 한국어나 한국문화에 익숙한 사람을 우선으로 해야함","Ethnic Korean, we must prioritize people who are familiar with the Korean language and culture"
125,한국말도 어느 정도 할줄 알고 직장도 있고 동포이기 때문,"Because they have some knowledge of the Korean language, are employed, and are ethnic Korean"
126,베트남,Vietnam
127,한국과 친근함이 보임,They seem familiar with Korea
128,한국에 정착해서 살아갈수 있을것 같은 사람,I think they will be able to settle in Korea to live
129,부단한노력,Constant effort
131,"동포이고, 또 한국에서 구직활동하면서 생산성에 기여할 수 있어서",They are ethnic Korean and they can contribute to Korea’s productivity through employment-seeking activities
132,한국어도 유창하고 취업도 보장되므로 한국에서 살기에 어려움이 없을 것같아서,Because I don’t think they will have any difficulty living in Korea as they are fluent in Korean and employment is guaranteed
133,우리 사회와 동화될 수 있어서,Because they can assimilate to our society
134,연민,Compassion
135,고용주와 계약 완료되서,Because they entered into a contract with an employer
136,한국에 살려는 의지,Their willingness to live in Korea
137,취업이 확정이 되어서 선택하였습니다,I chose them because their employment was confirmed
140,"이민국 고유의 문화에 얼만큼 잘 어우러질 수 있는지, 토착민들과 잘 융합될 수 있는지의 여부를 따져봤다",I considered how well they can blend in with the native culture of the country they are immigrating to and whether they can integrate will with native people
141,한국어가 유창하고 재정착,Their Korean is fluent and they will resettle
142,어쨋든 우리 동포이면서 연구원이라서 우리 사회에 도움이 될듯해서,Because they are ethnic Korean and I think they will be helpful to our society as a researcher
144,"첫째 동포이었으며, 두째는 취업 의지가 있었음.","First, they are ethnic Korean, and second, they are willing to find a job."
145,나의주관,My point of view
146,우리나라에서 이점만 취하고 먹튀하려는지 여부를 가늠해봤음,I considered whether they would take advantage of our country and dine and dash
147,확실한 동기가 있으며 우리나라에 필요 인력군임,Has a clear motive and they have a profession that our country needs
148,이민을 좀 더 확실히 원하는 프로필이였다,They had a profile that more clearly needed to immigrate
149,같은 민족이기때문에,Because they are ethnic Korea
150,"특별한 이유 없고, 위험성이 낮으니까","No special reason, and because they were low risk"
151,한국어 사용 가능여부 취업 의지 여부,Whether they can speak Korean and whether they are willing to work
152,조금이라도 의지가 보여서,Because they showed willingness
154,동포이고 단기근무자이기때문에 바로 출국이 가능하기 때문,Because they are ethnic Korean and because they are a short-term worker and thus will be able to leave the country soon
155,중국출신이 아님,Not from China
156,능력있는 이민자는 망명하는쪽이 좋아서,Because it would be good for a skilled immigrant to seek asylum
157,우리와 같은 민족으로 비록 한국어를 잘 하지 못하더라도 곧 잘 정착하리라 보아서 선택함,"They are ethnic Korean. Even if they cannot speak Korean well, I chose them because I think they will settle well."
158,출신지와 개인이 처한 상황.그리고 우리말을 배우려고 하는 자세,"Where they came from and the situation they face. Also, their willingness to learn Korean."
159,그나마 최선책을 찾은것뿐이지 선호하는 프로필은 존재하지 않았다,"I just found the best choice, but there is no profile that I prefer."
160,친절,Kindness
161,한국어을잘해서,Because they can speak Korean well
162,특별한 이유는없다,No special reason
163,없음,None
164,사회에 도움이될만한사람을뽑음,I chose someone that would be able aid society
165,한국어 가능여부 및 출신국,Whether they can speak Korean and where they are from
166,...........,...........
167,한국어 유창성,Fluency in Korean
168,2명중 그나마 괜찮은 사람인거같다,"Of the 2, they are okay"
169,한국에 정착하려는 의지가 강하다,Their willingness to settle in Korea is strong
171,보기에좋다,They look good
172,자국에 도움이 되는 사람,Someone who will be helpful to our country
173,출신지가 미국이고 직업이 괜찮아서,Because they are from the US and and they have an okay job
174,우리나라에 들어와서 위험성이 조금이라도 적을 것이라고 생각된 쪽을 선택함,I chose someone who I think will be less of a threat in our country
175,재정착,Resettlement
176,망명은 확시한 이유가 있어서,The reasons for seeking asylum are clear
178,확실한 직업,Has a solid job
179,아무래도 교육 수준이 높은 사람이 더 적응하기 슁 ㄹ것 같애서요,Because I think someone with higher education will be able to adjust more easily
180,신뢰,Reliability
181,동포,Ethnic Korean
183,구직의사 및 출신국가가 중요하다고 생각함 동포라고 해서 다 같은 동포라고 생각진 않음,I think their willingness to find work and country of origin are important. I don’ think being ethnic Korean guarantees they are one of us.
184,한국어의 사용정도,Korean language skill
185,동포라는 이미지가 좋았다,I like their image as an ethnic Korean
186,"국적, 민족성, 적응가능성 등을 순서대로 가산함","I considered in order: nationality, ethnicity, ability to adapt, etc."
187,예멘 출신의 종교를 선호하지 않기 때문임,Because I do not prefer the religion of those from Yemen
188,신뢰가 있어서,Because there is trust
189,특별한이유없음,No special reason
190,면접을 기다린다는 점이 신뢰가 가서,I had more trust in them because they are waiting for a job interview
191,한국어 사용 능력,Ability to use the Korean language
192,한국어능력,Korean language skill
193,동포,Ethnic Korean
194,열심히 살것 같다,I think they will live earnestly
195,우리동포,Ethnic Korean
196,한국어가 어느정도 가능하여 정착후 어려움이 크지않을것이고 예멘인은 단기로 머무를 것이라고 하여 허가해주고싶지않음,They will not face much difficulty because they have some knowledge of Korean and I don't want to authorize Yeminis to come because they will be staying short-term
197,좀 더 안전한 사람으로 여겨지고 계획이 있어보임,I feel they are the safer choice and they seem to have a plan
198,계획이 있어서 (어느정도),Because they have a plan (somewhat)
199,국적 직업 선호,I prefer their nationality and job
200,경제적인 면,Economic aspect
201,정상국가,Normal state
203,"직업, 정착가능성","Job, ability to settle"
204,지금시기가 확정적이지 않아서,Because it is not definite at this point
205,취업이 완료된 사람이라면 정착하는데 수월할 것 같아서,Because I think they will settle more smoothly if they already secured a job
206,너무 좋아요,Very good
207,일을 할수있는 상태,They can work
208,모름,I don't know
209,우리나라 정착해서 잘 지낼거 같아서,Because I think they will settle in our country and live well
210,북한과 평화모드가 조성되길 바라는 마음에,In the hopes that peace with North Korean will be achieved
211,이민이 좀더 필요해 보여서,Their immigration seemed more necessary
212,일단 한국어를 잘한다는 점에서,The fact that they can speak Korean well
213,필요하기 떄문,Because it is necessary
215,현실 적응력이 나을듯 함,It seems their ability to settle will be better
216,한국어 소통이 가능하고 농사일을 하기 위하여 필요한 요건이 충족된다고 판단됩니다.,They can communicate in Korean and it seems that the requirements for them to work in farming are met.
219,우리나라에 도움이 되고 단순 육체노동자가 아니라서,Because they will help our country and they are not just a manual laborer.
202,신뢰도,Reliability
220,"원활한 한국어, 고용확인","Good Korean language skills, confirmed employment"
221,고용완료,Employment is complete
222,우리나라 동포이니까,Because they are ethnic Korean
223,국적에따른 호감도,Likability based on nationality
224,한국어가 가능하고 구직을 하였기 때문이다,They can speak Korean and they have looked for work
225,한국에 오는 뚜렷한 계획이 있기 때문에,Because they have a clear plan for coming to Korea
226,우리나라도 타민족의 이민을 유연하게 받아 들여야 한다고 생각함,I think that we need to be flexible about receiving immigrants of other ethnicities as well
227,"선진국,어느정도 교육을 받은 지성인,국가에 이득이 될 수 있는 직업조건,여성","Advanced country, intellectual with a certain level of education, employment conditions that will be beneficial to the country, female"
228,가장 우선은 조금이라도 국민에게 해가 될만한 여지가 있는지를 생각합니다.,"First of all, I consider if they will be harmful to the Korean people"
229,"여성, 서투른 한국어라도 연습하였다는 점","Female, and even if their Korean is not good, they practice"
230,조금더 안전하게 보인다.,This choice seems a little safer.
231,"베트남과 관계가 좋아지고 있고, 의사로서 도움이 될 것 같음","Our relations with Vietnam are improving, and this person will be helpful as a doctor"
232,둘다 싫지만 그나마 여성 후보자가 낫다. 예멘 국적 남성에 대한 편견이 있다,"I don't like either, but I think the female candidate is better. I have prejudice against males from Yemen"
233,구직활동,Employment-seeking activities
234,언어적인 부분,Part about language
235,없음,None
237,민족성 및 한국어 구사 가능 여부와 구직 계약 완료여부 등 복합적,"Their ethnicity, command of the Korean language, and whether they entered into an employment contract, etc."
238,"방금이 바로 앞의 예를 말하는지? 언어, 목적 등","Does this refer to the previous example? Language, objective, etc."
239,한국어를 하고 확실한 직업이 있는 사람 그리고 우리 동포를 위주로.,"Someone who can speak Korean and with a solid job, and I prioritize ethnic Koreans."
240,"와서 문제를 일으킬 소지가 없고, 자기 자신을 부양할 준비가 되어 있어서","Because it doesn’t seem they will cause problems when they arrive, and they are ready to provide for themselves"
241,"여성,재정착","Female, resettlement"
242,직업을 얻기위해 한국으로 들어옴,They are coming to Korea for work
243,같은 동족 이라서,Because they are of the same race
244,의사소통을 할 수 있는 한국어를 하여서 입니다,Because they can communicate in Korean
245,직업군,Occupation
246,출신국 때문에,Because of their country of origin
247,구직이 정해져있기때문에,Because their employment is settled
248,한국어를 말할수 있어서,Because they can speak Korean
250,여성,Female
251,상대적으로 나아서,They are relatively better
252,유창항 한국어,Fluent Korean
253,더욱 간절해보였다 한국생활에 더 도움이 될거라 생각.,They seem more earnest and this will be helpful for them when living in Korea.
254,한국어 능력과 이미 한국업체와의 계약 완료,Their ability to speak Korean and the fact that they already entered into a contract with a Korean company
255,"구직이 되었거나, 구직계획이 있을 때만 허가",Approve only when they have employment or have employment-seeking plans
256,이민자로 적합해보임,They seem appropriate as an immigrant
257,보다 전문적인 지식을 가지고 있음,They have professional knowledge
258,적응이 빠르고 분란의 소지가 적음,"They have specialized knowledge, will adapt faster, and are less likely to cause disorder"
259,북한 동포 출신의 우선 선택하였음,I selected them because they are an ethnic Korean from North Korea
260,직업,Employment
261,망명을 하기 위한 신청이라면 사유를 확인햐여야 하겠지만 일단을 긍정적으로 받아들인후 면밀하게 조사를 해야함,"If they are seeking asylum, their reasons must be confirm, but they must be investigated closely after accepting them in a positive manner"
262,같은 민족이기때문에,Because they are ethnic Korea
264,프로필이 마음에 들어서,I liked their profile
265,한국어를 할 줄 알아서,Because they know how to speak Korean
266,우리 동포여서 동질감이 있기 때문에,They are ethnic Korean so I feel a sense of kinship with them
267,각자의 뚜렷한 직업때문,Because of each individual's distinct occupation
268,불법 체류의 가능성이 상대적으로 적음,Because they are relatively less likely to stay illegally
269,후보자의 의지,The candidate’s willingness
270,국내에서 취업예정임,Plans to find a job here
271,동포,Ethnic Korean
272,그냥,Just because
273,한국어를 유창하게 구사함,They can speak Korean fluently
274,우리나라동포,Our ethnic Korean
275,진정성,Sincerity
276,우리나라에 정착하고 적응하고자 하는 의지를 파악해 보았다.,I tried to understand their willingness to settle and adapt in our country
277,한국어가능,They can speak Korean
278,동포,Ethnic Korean
279,더 호감이 가서,They give a more favorable impression
280,망명아님,Not an asylum seeker
283,장래에 국가나 미래에 도움이 될것같아서이다,Because I think they will be helpful for the country and future
284,동일민족,Same ethnic group
285,Fhhh,Fhhh
287,이민의 자격이 충분하기때문에 안전하다고 판단되어서,Because I think they are a safe choice as they have sufficient qualifications for immigration
289,예맨 사람보다는 나을것 같아서,Because I think they will be better than someone from Yemen
290,나와 맞는 성격이여서,Because their personality suits me
291,좀 더 믿음이 가서,Because I trust them more
292,한국어능력,Korean language skill
293,한국말이 가능하고 구직활동 등 뚜렷한계획이 있으므로,"Because they can speak Korean and they have clear plans including employment-seeking activities, etc."
296,의사라는 직업과 한국어를 할 수 있다는 점 때문에,Because they are a doctor and can speak Korean
298,"방금 중국남성과 북한여성 중 고르는 문제는, 중국남성은 별다른 직업도 능력도 없어 한국사회에 도움이 되지 않을 것으로 보았기 때문. 둘 중 그나마 북한여성은 자립의지가 보였음.","When choosing between the Chinese man and North Korean woman, the Chinese man did not have any job or skills and did not seem like he would be helpful to Korean society. Between the two, at least the North Korean woman had the willingness to support herself."
299,동포라서,Because they are ethnic Korean
300,구직계획이 있는 동포이므로,Because they are an ethnic Korean with employment-seeking plans
301,이왕이면 동포니까.,Because ethnic Koreans are preferred
302,직업을 갖기 쉬울것 같아서,Because I think it will be easy for them to find a job
303,같은 민족이라서,Because they are ethnic Korean like us
304,미국이고 여자,They are from the US and a female
305,무난,Easy
306,비교 대상보다 조건이 조은것 같음,They seemed to have better conditions than the other person
307,한국어를 사용 할 수 있기 때문. 현 행정직을 하면서 외국인들을 많이 마주하는데 한국어를 하지 못하는 직원들은 너무 힘들고 솔직히 해결방법이 적어짐,"Because they can speak Korean While currently working as an administrator, I face a lot of foreigners but employees that cannot speak Korean are very difficult, and there are few solutions."
308,"전반적으로 선홓사지 않고, 공부등을 이한 이민등은 유보적인 입장입니다.","I don't prefer them overall, and I have reservations against immigration for study purposes."
309,한국어가 유창하기 때문에. 서로간 의사소통이 되지 않으면 함께 일을 할 수조차 없어서 한국어 유창자를 필요로 함,"Because their Korean is fluent. We need people who are fluent in Korean because if communication is not possible, we cannot work together."
310,특별이유없음,No special reason
311,"성별, 한국어구사 등 고려함","I considered gender, ability to speak Korean, etc."
312,정착할 준비가 되었다,They are prepared to settle
313,한국어 가능,They can speak Korean
315,특별한 이유없음,No special reason
316,좀더 안정적으로 한국사회에 적응할수있다고 생각함.,I think they will be able to settle in Korea more stably
318,직업이 있음,They have a job
317,성실 할 것 같아서,Because I think they will be diligent
319,동포의 경우에 더 선호하게 되는 경향이 있었다.,I tend to prefer ethnic Koreans
320,한국어 능력,Ability to speak Korean
321,언어습득력과 직업 부분,Ability to learn languages and job aspect
322,5566,5566
323,직업 및 단기-정착 보고 고름. 안그래도 내국적으로도 취업이 어려운데 외국인까지 오면 더 곤란해서.,"I chose them because of their job and their short-term settlement Jobs are hard to find already domestically, so it will be more difficult if foreigners come."
324,한국어를 할 줄 알아서,Because they know how to speak Korean
326,선호하기 보다는 둘중에 굳이 선택해야한다면,"I didn’t really prefer anyone, but if I had to choose, this is my choice"
327,우선 사상적으로 안정 되어있느느것 같아서,"First of all, I think they will be ideologically stable."
329,우리나라에 기여도,Contribution to our country
330,전문직,Professional
331,한국어를 할줄알면 적응이쉬우니까,Because it will be easier to settle if they know how to speak Korean
332,단기이주계획이기때문에 그기간동안만 잘관리하면 된다,"It's a short-term immigration plan, so they can just manage well during that period"
333,우리나라와 잘 맞는 거 같아서,Because I think they are suited for our country
335,성별 및 한국어 사용여부,"Gender, and whether they can speak Korea"
336,"더 끌리고, 위험요소가 덜 한 사람 같아서","I feel more drawn to them, and they seem to be less risky"
337,더 신뢰가 가서,Because they seem more trustworthy
339,확실히 일을 하려고 해서. 구직이 예정이 아니고 아예 합격된 상태이기 때문에.,Because they are definitely trying to work Because they are not planning to look for work but has already been accepted
340,취업을 해서,Because they are looking for work
341,우리나라가 아니면 살기 힘들 것 같아서,Because I think it would be difficult for them to live if not in our country
345,한국에서 잘 적응할수있어서,Because they can adjust well in Korea
348,"노력, 이민 후보자의 태도","Effort, attitude of the immigration candidate"
350,믿을수있어서,Because they are trustworthy
351,출산국,Country of origin
352,서투른 한국말사용,They speak Korean poorly
353,최악 보다는 차악 이라서 ( 둘다 내키진 않음 ),Because they are worse than the worst (both are unwilling)
354,국가에 적극 적응 하려는 노략이 보인다,I can see their efforts to actively adjust in the country
355,적응 가능성이 상대적으로 높다고 판단됨,I think the possibility that they will adjust is relatively high
356,전문직,Professional
358,구체적 목적을 가지고 있어서,Because they have a specific objective
360,우리나라에 정착하기 위해서는 언어가 우선이라고 생각되며 직업의 종류 또한 중요하다고 생각한다.,I think that language is a priority to settle in our country and type of occupation is important as well.
359,"구직, 한국어 유창성, 한국 동화 용이","Seeking employment, fluent in Korean, easy assimilation to Korea"
361,믿을수있으서,Because they are trustworthy
363,친근해서,Seems friendly
364,동포,Ethnic Korean
365,그냥,Just because
366,뚜렷하다,It is clear
367,이미 베트남 사람들은 한국에 많이 와서 일을 하고있다,Many Vietnamese people have come to Korea and are working
369,ㅎ하한ㄱ구국ㅁ미ㅁ마말,
371,없음,None
372,여성이고 한국말을 쓸 줄 아는 사람을 고름.,I chose a female and someone who can speak Korean
373,맘가는대로 선택함,I chose who I was drawn to
374,"구직활동을 하려거나 노동을 하려는 자, 그나라의 언어를 공부했다는 것은 살기위해 노력하는 것이기 때문에 선호함.",I prefer this person because they are seeking employment or willing to work and because they studied the language of that country which shows that they are making efforts to live there.
375,모름,I don't know
376,망명이란게 쉬운일이 아니라서,Because seeking asylum is not easy
377,더 안정적,Seems more stable
378,친밀감,Sense of closeness
379,여성이여서,Because they are female
